query-id	corpus-id	score
Q051	20584523	1
Q052	20655799	1
Q053	20516469	1
Q054	21607631	1
Q055	21607415	1
Q056	19531088	1
Q057	22145389	1
Q058	20373661	1
Q059	20509521	1
Q060	20545132	1
Q061	20514312	1
Q062	21620153	1
Q063	1041389	1
Q064	21998894	1
Q065	22079461	1
Q066	22000776	1
Q067	22060085	1
Q068	21611194	1
Q069	22149318	1
Q070	19545824	1
Q071	22028871	1
Q072	17401408	1
Q073	20504782	1
Q074	20544117	1
Q075	20539901	1
Q076	19592658	1
Q077	20533209	1
Q079	19583464	1
Q081	20539255	1
Q082	22046287	1
Q083	20544045	1
Q084	20544245	1
Q085	21607311	1
Q086	22087874	1
Q087	22094862	1
Q088	20546672	1
Q089	22087614	1
Q090	22079381	1
Q091	20538890	1
Q092	22039048	1
