query-id	corpus-id	score
Q002	21728848	1
Q003	20537444	1
Q004	21607987	1
Q005	20584523	1
Q007	20655799	1
Q008	20516469	1
Q009	21607631	1
Q010	21607415	1
Q011	19531088	1
Q012	22145389	1
Q014	20373661	1
Q015	20509521	1
Q016	20545132	1
Q017	20514312	1
Q019	21620153	1
Q020	1041389	1
Q021	21998894	1
Q022	22079461	1
Q023	22000776	1
Q024	22060085	1
Q025	21611194	1
Q026	22149318	1
Q027	19545824	1
Q028	22028871	1
Q030	17401408	1
Q031	20504782	1
Q032	20544117	1
Q033	20539901	1
Q034	19592658	1
Q035	20533209	1
Q036	22097871	1
Q037	19583464	1
Q038	22089471	1
Q039	20539255	1
Q040	22046287	1
Q041	20544045	1
Q042	20544245	1
Q043	21607311	1
Q044	22087874	1
Q045	22094862	1
Q046	20546672	1
Q047	22087614	1
Q048	22079381	1
Q049	20538890	1
Q050	22039048	1
